benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation, solution, size(KB)
robot 3,0.047764,0.000373,0.000590,0.356031,0.000504,0.005403,0.001467,0.364601,No solution: 0.10s,10072
robot 4,0.047571,0.000391,0.000643,0.362626,0.000593,0.008476,0.002432,0.375355,No solution: 0.12s,10072
robot 5,0.048448,0.000558,0.000875,0.366983,0.000808,0.012383,0.003536,0.385369,No solution: 0.15s,10336
robot 6,0.048963,0.000615,0.000950,0.373190,0.001090,0.016000,0.005129,0.397181,No solution: 0.20s,10492
robot 7,0.048984,0.000659,0.001116,0.393135,0.001363,0.021617,0.007135,0.425296,No solution: 0.26s,10652
robot 8,0.050537,0.000830,0.001218,0.378899,0.001862,0.026210,0.009590,0.418816,No solution: 0.38s,10868
robot 9,0.050862,0.000866,0.001345,0.394683,0.002229,0.033339,0.012133,0.444848,No solution: 0.51s,11180
robot 10,0.051036,0.000908,0.001472,0.389972,0.002702,0.040042,0.015481,0.450793,No solution: 0.70s,11552
robot 11,0.051780,0.001174,0.001671,0.385547,0.003264,0.054894,0.019703,0.466506,No solution: 0.96s,11992
robot 12,0.052969,0.001135,0.001786,0.395480,0.003828,0.060847,0.024426,0.487714,No solution: 1.32s,12384
robot 13,0.054741,0.001202,0.001933,0.392635,0.004817,0.071539,0.029887,0.502249,No solution: 1.81s,13060
robot 14,0.054974,0.001594,0.002028,0.394674,0.005036,0.082072,0.036545,0.522187,No solution: 2.48s,13664
robot 15,0.055666,0.001669,0.002144,0.399950,0.005875,0.093357,0.042940,0.546198,No solution: 3.26s,14512
robot 16,0.056659,0.001925,0.002451,0.408078,0.006166,0.114538,0.052734,0.586131,No solution: 4.26s,15400
robot 17,0.058520,0.001890,0.002627,0.419375,0.007006,0.125763,0.061842,0.618749,No solution: 5.59s,16548
robot 18,0.060067,0.001958,0.002773,0.418300,0.007821,0.141762,0.072644,0.645509,No solution: 7.07s,17644
robot 19,0.061393,0.002314,0.002820,0.446074,0.008803,0.158265,0.084874,0.703414,No solution: 9.08s,18960
robot 20,0.063763,0.002089,0.003000,0.423419,0.010441,0.190023,0.099295,0.728549,No solution: 11.32s,21208
robot 21,0.065190,0.002216,0.003134,0.426137,0.011315,0.208702,0.112174,0.763931,No solution: 14.24s,22808
robot 22,0.067183,0.002111,0.003667,0.426635,0.011634,0.256524,0.128304,0.829154,No solution: 17.52s,24764
