benchmark name,collecting queries,rewriting,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
robot 3,0.000675,0.582220,0.001011,0.000308,0.584348,0.001211,0.07s,10072
robot 4,0.000397,0.379983,0.001387,0.000363,0.382279,0.002323,0.07s,10076
robot 5,0.000503,0.384158,0.001714,0.000426,0.386924,0.003980,0.09s,10076
robot 6,0.000628,0.390636,0.002111,0.000530,0.394047,0.005997,0.12s,10072
robot 7,0.000846,0.399197,0.002414,0.000622,0.403210,0.008428,0.15s,10072
robot 8,0.000799,0.386464,0.002806,0.000694,0.390916,0.011119,0.18s,10068
robot 9,0.000935,0.388949,0.003052,0.000786,0.393852,0.014704,0.22s,10072
robot 10,0.000969,0.391628,0.003540,0.000842,0.397115,0.018278,0.27s,10068
robot 11,0.001129,0.444294,0.004448,0.001071,0.451125,0.028736,0.39s,10072
robot 12,0.001317,0.534254,0.004340,0.001021,0.541079,0.027941,0.39s,10208
robot 13,0.001358,0.438349,0.004420,0.001072,0.445342,0.032468,0.47s,10204
robot 14,0.001441,0.436675,0.004659,0.001220,0.444136,0.038384,0.53s,10204
robot 15,0.001544,0.430366,0.005358,0.001304,0.438744,0.043939,0.63s,10204
robot 16,0.001657,0.442239,0.005826,0.001348,0.451224,0.050579,0.71s,10340
robot 17,0.001651,0.434662,0.006034,0.001456,0.443939,0.057690,0.77s,10344
robot 18,0.002176,0.456316,0.006843,0.001537,0.467033,0.065677,0.85s,10352
robot 19,0.001913,0.451876,0.006864,0.001619,0.462425,0.074298,0.96s,10468
robot 20,0.002053,0.467297,0.007120,0.001780,0.478405,0.082066,1.13s,10468
robot 21,0.002235,0.463548,0.007446,0.001834,0.475209,0.091346,1.21s,10472
robot 22,0.002908,0.467036,0.007778,0.002002,0.479937,0.100275,1.37s,10476
