benchmark name,collecting queries,rewriting,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
catOG 6,0.000072,0.577546,0.000452,0.000120,0.578347,0.000295,0.06s,9940
catOG 7,0.000085,0.363332,0.000473,0.000128,0.364153,0.000290,0.05s,10072
catOG 8,0.000080,0.350635,0.000489,0.000119,0.351455,0.000302,0.06s,10072
catOG 9,0.000081,0.351070,0.000464,0.000122,0.351868,0.000298,0.06s,10076
catOG 10,0.000081,0.352212,0.000477,0.000115,0.353013,0.000533,0.05s,10076
catOG 11,0.000065,0.351796,0.000470,0.000128,0.352616,0.000557,0.06s,10076
catOG 12,0.000067,0.348716,0.000469,0.000118,0.349492,0.000553,0.07s,10072
catOG 13,0.000082,0.349749,0.000485,0.000122,0.350565,0.000402,0.08s,10076
catOG 14,0.000065,0.350961,0.000494,0.000123,0.351767,0.000395,0.07s,10204
catOG 15,0.000068,0.348294,0.000480,0.000142,0.349117,0.000353,0.09s,10208
catOG 16,0.000077,0.348174,0.000488,0.000129,0.349015,0.000437,0.10s,10208
catOG 17,0.000066,0.361743,0.000501,0.000139,0.362577,0.000345,0.10s,10476
catOG 18,0.000066,0.349457,0.000577,0.000175,0.350418,0.000337,0.09s,10476
catOG 19,0.000082,0.348699,0.000504,0.000122,0.349544,0.000355,0.12s,10472
catOG 20,0.000083,0.348137,0.000494,0.000122,0.348966,0.000366,0.13s,10616
catOG 21,0.000087,0.354880,0.000607,0.000126,0.355847,0.000355,0.12s,10620
catOG 22,0.000084,0.356908,0.000509,0.000122,0.357758,0.000315,0.13s,10632
catOG 23,0.000066,0.352675,0.000507,0.000121,0.353499,0.000338,0.14s,10628
catOG 24,0.000067,0.353400,0.000516,0.000119,0.354229,0.000327,0.15s,10760
catOG 25,0.000069,0.349944,0.000514,0.000135,0.350789,0.000311,0.15s,10764
