benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation, solution, size(KB)
cat 17,0.050468,0.000123,0.000248,0.342103,0.000227,0.002171,0.000714,0.345803,0.43s,41352
elevator 22,0.050763,0.000126,0.000826,0.359225,0.000329,0.002990,0.001467,0.365158,0.32s,10348
task 15,0.052052,0.000829,0.000492,0.388496,0.000700,0.008026,0.004438,0.403178,141.84s,12056
order 5,0.053665,0.000851,0.000445,0.329782,0.000640,0.005335,0.003220,0.340477,0.28s,11796
order 10,0.053926,0.000750,0.000396,0.328925,0.000601,0.005359,0.003273,0.339500,0.84s,14684
order 15,0.054342,0.000785,0.000398,0.336785,0.000622,0.005289,0.003351,0.347428,2.10s,20768
trip 5,0.049879,0.000883,0.000540,0.347785,0.000305,0.002694,0.001382,0.353778,1.92s,19724
trip 10,0.049706,0.000878,0.000520,0.357156,0.000304,0.002725,0.001393,0.363163,5.34s,31988
trip 15,0.050290,0.000749,0.000506,0.343941,0.000364,0.002758,0.001381,0.349895,12.58s,52752
tripv2 5,0.050710,0.000785,0.000526,0.358179,0.000339,0.003549,0.001959,0.365520,0.93s,21628
tripv2 10,0.051163,0.000941,0.000556,0.361841,0.000422,0.003648,0.001905,0.369531,2.19s,39008
tripv2 15,0.051269,0.000848,0.000568,0.362551,0.000399,0.003618,0.001960,0.370147,4.25s,67764
