benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation, solution, size(KB)
cat 6,0.050776,0.000104,0.000213,0.343136,0.000224,0.001654,0.000722,0.346302,0.07s,10076
cat 7,0.050447,0.000099,0.000213,0.349425,0.000234,0.002221,0.000715,0.353162,0.07s,10072
cat 8,0.050083,0.000097,0.000209,0.338399,0.000271,0.002277,0.000734,0.342249,0.07s,10072
cat 9,0.049978,0.000095,0.000212,0.340570,0.000288,0.002365,0.000739,0.344541,0.11s,10072
cat 10,0.049968,0.000128,0.000216,0.339446,0.000243,0.002181,0.000752,0.343218,0.23s,10468
cat 11,0.050479,0.000101,0.000207,0.341144,0.000221,0.002217,0.000717,0.344855,0.24s,10612
cat 12,0.050406,0.000094,0.000202,0.350759,0.000226,0.002145,0.000717,0.354402,0.49s,11504
cat 13,0.050301,0.000116,0.000209,0.338181,0.000227,0.002208,0.000719,0.341921,0.56s,11532
cat 14,0.049710,0.000110,0.000216,0.341369,0.000284,0.002228,0.000729,0.345216,2.63s,17072
cat 15,0.050466,0.000106,0.000201,0.341491,0.000269,0.002284,0.000729,0.345358,6.35s,25196
cat 16,0.049734,0.000117,0.000207,0.342403,0.000282,0.002280,0.000760,0.346319,6.79s,26336
cat 17,0.050145,0.000095,0.000206,0.341933,0.000250,0.002210,0.000722,0.345671,36.04s,83332
cat 18,0.049931,0.000103,0.000217,0.342088,0.000273,0.002231,0.000745,0.345921,38.03s,85296
cat 19,0.049834,0.000095,0.000211,0.343735,0.000261,0.002289,0.000729,0.347591,92.73s,172364
cat 20,0.050501,0.000113,0.000225,0.351251,0.000244,0.002249,0.000777,0.355108,476.88s,780996
cat 21,0.049959,0.000101,0.000253,0.358123,0.000321,0.003486,0.001197,0.363809,497.67s,809308
cat 22,0.050002,0.000117,0.000249,0.344392,0.000266,0.002284,0.000729,0.348316,exiting,1544896
cat 23,0.050183,0.000100,0.000200,0.337370,0.000226,0.002251,0.000712,0.341127,exiting,1601728
cat 24,0.050096,0.000116,0.000258,0.341446,0.000280,0.002358,0.000727,0.345515,exiting,2739860
cat 25,0.050192,0.000102,0.000266,0.393839,0.000316,0.002409,0.000773,0.398016,
