benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
cat 17,0.050177,0.000109,0.000250,0.342634,0.000271,0.002347,0.000713,0.346542,0.019011,0.22s,10528
elevator 22,0.050647,0.000121,0.000821,0.343096,0.000387,0.003039,0.001451,0.349113,0.092079,0.32s,10468
task 15,0.051912,0.000830,0.000490,0.359983,0.000712,0.008007,0.004656,0.374872,0.831094,2.62s,32704
order 5,0.055482,0.000821,0.000411,0.336499,0.000606,0.005254,0.003310,0.347107,0.453888,0.31s,11976
order 10,0.053774,0.000729,0.000428,0.325141,0.000623,0.005253,0.003273,0.335648,0.452836,0.83s,14996
order 15,0.055464,0.000918,0.000425,0.320915,0.000714,0.005645,0.003216,0.332041,0.460053,2.12s,21092
trip 5,0.049865,0.000902,0.000510,0.369084,0.000312,0.002695,0.001442,0.375135,0.048626,2.03s,20176
trip 10,0.050202,0.001066,0.000525,0.348476,0.000306,0.002786,0.001428,0.354782,0.048839,5.34s,32588
trip 15,0.050522,0.000943,0.000521,0.364293,0.000347,0.002742,0.001417,0.370467,0.048224,12.09s,53528
tripv2 5,0.050855,0.000718,0.000524,0.354763,0.000426,0.003541,0.001951,0.362117,0.128132,0.91s,21912
tripv2 10,0.051390,0.000767,0.000599,0.358744,0.000370,0.003556,0.001923,0.366157,0.125344,2.16s,39420
tripv2 15,0.068130,0.000977,0.000539,0.355709,0.000478,0.003521,0.002030,0.363465,0.124441,4.14s,68260
