benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
cat 17,0.049989,0.000100,0.000219,0.345511,0.000262,0.002658,0.000605,0.349621,0.023543,2.02s,31720
elevator 22,0.050681,0.000132,0.000861,0.348750,0.000335,0.003523,0.001096,0.354971,0.106875,1.73s,31356
task 15,0.051405,0.000704,0.000496,0.350562,0.000768,0.009137,0.003209,0.365131,0.912825,2.48s,32072
order 15,0.054361,0.000758,0.000407,0.320161,0.000590,0.006980,0.002404,0.331595,0.532507,2.01s,19676
order 5,0.054146,0.000767,0.000402,0.328414,0.000509,0.006857,0.002409,0.339629,0.532366,0.31s,11788
order 10,0.054364,0.000768,0.000397,0.321924,0.000498,0.006896,0.002403,0.333166,0.539645,0.83s,14448
trip 15,0.049782,0.000765,0.000509,0.338930,0.000326,0.003437,0.001179,0.345403,0.060794,12.99s,48668
trip 5,0.049646,0.000778,0.000484,0.341516,0.000370,0.003585,0.001216,0.348253,0.060815,1.90s,18912
trip 10,0.049676,0.000782,0.000492,0.336191,0.000314,0.003541,0.001164,0.342747,0.063000,5.25s,30040
tripv2 15,0.050514,0.000768,0.000520,0.354746,0.000367,0.004460,0.001523,0.362635,0.151239,3.95s,55400
tripv2 5,0.050752,0.001005,0.000655,0.357484,0.000354,0.004455,0.001502,0.365726,0.153963,0.88s,19744
tripv2 10,0.052268,0.000846,0.000534,0.357815,0.000442,0.004542,0.001518,0.365972,0.157379,2.17s,32216
robot 15,0.056536,0.001830,0.002177,0.406044,0.005697,0.097816,0.052528,0.566430,141.408195,No solution: 8.43s,26188
