benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
catOG 6,0.069229,0.000133,0.000284,0.576103,0.001029,0.002465,0.000525,0.580762,0.026745,No solution: 0.08s,10076
catOG 7,0.051236,0.000120,0.000240,0.344786,0.000275,0.002526,0.000526,0.348699,0.026826,No solution: 0.09s,10072
catOG 8,0.050463,0.000102,0.000269,0.348179,0.000288,0.002562,0.000531,0.352152,0.026706,No solution: 0.09s,10072
catOG 9,0.051969,0.000108,0.000219,0.365207,0.000262,0.002574,0.000577,0.369159,0.027074,No solution: 0.09s,10072
catOG 10,0.050497,0.000112,0.000216,0.359938,0.000291,0.002662,0.000556,0.364010,0.026625,No solution: 0.12s,10072
catOG 11,0.050941,0.000099,0.000202,0.349652,0.000257,0.002487,0.000571,0.353494,0.027218,No solution: 0.13s,10064
catOG 12,0.050916,0.000120,0.000264,0.351056,0.000263,0.002524,0.000561,0.355011,0.026944,No solution: 0.14s,10072
catOG 13,0.050689,0.000096,0.000220,0.350192,0.000243,0.002496,0.000540,0.354004,0.026661,No solution: 0.14s,10072
catOG 14,0.050565,0.000114,0.000208,0.348186,0.000245,0.002553,0.000538,0.352046,0.026644,No solution: 0.20s,10208
catOG 15,0.051027,0.000103,0.000202,0.353371,0.000234,0.002727,0.000543,0.357390,0.027282,No solution: 0.23s,10344
catOG 16,0.050733,0.000110,0.000255,0.349221,0.000281,0.002520,0.000550,0.353181,0.027024,No solution: 0.25s,10344
catOG 17,0.051119,0.000103,0.000195,0.349672,0.000244,0.002510,0.000576,0.353510,0.026665,No solution: 0.38s,10660
catOG 18,0.050924,0.000120,0.000243,0.349766,0.000252,0.002513,0.000566,0.353678,0.027118,No solution: 0.40s,10604
catOG 19,0.051064,0.000100,0.000245,0.350502,0.000242,0.002644,0.000552,0.354496,0.026596,No solution: 0.45s,10612
catOG 20,0.051143,0.000109,0.000220,0.358074,0.000235,0.002553,0.000575,0.361982,0.026760,No solution: 0.84s,11836
catOG 21,0.051439,0.000101,0.000197,0.349942,0.000238,0.002527,0.000544,0.353772,0.026881,No solution: 0.86s,11840
catOG 22,0.051113,0.000101,0.000226,0.352500,0.000244,0.002564,0.000536,0.356367,0.026849,No solution: 0.98s,11984
catOG 23,0.052218,0.000129,0.000263,0.353467,0.000312,0.002621,0.000600,0.357644,0.026447,No solution: 1.00s,11988
catOG 24,0.051010,0.000102,0.000200,0.351261,0.000242,0.002509,0.000535,0.355058,0.027032,No solution: 2.29s,16568
catOG 25,0.051525,0.000100,0.000200,0.352050,0.000252,0.002502,0.000565,0.355873,0.026994,No solution: 2.55s,17128
