benchmark name,collecting queries,rewriting,gen derived preds,finalize,total complation,tseitin transformation, solution, size
cat 6,0.000077,0.564420,0.000459,0.000139,0.565279,0.000597,0.06s,10072
cat 7,0.000081,0.350008,0.000472,0.000131,0.350868,0.000442,0.05s,10072
cat 8,0.000075,0.347315,0.000494,0.000131,0.348196,0.000397,0.06s,10072
cat 9,0.000072,0.352246,0.000492,0.000139,0.353123,0.000419,0.06s,10072
cat 10,0.000077,0.349663,0.000483,0.000136,0.350537,0.000386,0.07s,10068
cat 11,0.000076,0.358023,0.000511,0.000127,0.358904,0.000396,0.06s,10064
cat 12,0.000087,0.356096,0.000600,0.000132,0.357100,0.000384,0.07s,10068
cat 13,0.000077,0.360266,0.000567,0.000132,0.361233,0.000378,0.07s,10068
cat 14,0.000075,0.373559,0.000685,0.000193,0.374740,0.000542,0.06s,10068
cat 15,0.000091,0.351039,0.000507,0.000124,0.351939,0.000349,0.07s,10068
cat 16,0.000078,0.358978,0.000483,0.000131,0.359852,0.000428,0.08s,10068
cat 17,0.000082,0.359621,0.000503,0.000137,0.360521,0.000344,0.08s,10068
cat 18,0.000073,0.356333,0.000586,0.000168,0.357357,0.000367,0.07s,10068
cat 19,0.000094,0.366661,0.000501,0.000124,0.367556,0.000370,0.07s,10068
cat 20,0.000073,0.350657,0.000551,0.000126,0.351590,0.000341,0.08s,10068
cat 21,0.000094,0.348758,0.000576,0.000132,0.349751,0.000337,0.08s,10068
cat 22,0.000088,0.356397,0.000518,0.000129,0.357318,0.000337,0.09s,10068
cat 23,0.000075,0.358740,0.000512,0.000128,0.359626,0.000334,0.09s,10068
cat 24,0.000078,0.356736,0.000516,0.000151,0.357678,0.000346,0.08s,10068
cat 25,0.000077,0.357862,0.000542,0.000164,0.358833,0.000385,0.08s,10060
elevator 15,0.000156,0.360561,0.000574,0.000233,0.361700,0.000493,0.06s,10072
elevator 16,0.000154,0.352472,0.000611,0.000219,0.353630,0.000524,0.07s,10072
elevator 17,0.000155,0.354107,0.000597,0.000216,0.355248,0.000542,0.07s,10072
elevator 18,0.000152,0.364928,0.000586,0.000207,0.366042,0.000491,0.07s,10068
elevator 19,0.000186,0.357607,0.000619,0.000228,0.358823,0.000512,0.07s,10068
elevator 20,0.000194,0.363950,0.000615,0.000219,0.365167,0.000504,0.06s,10068
elevator 21,0.000149,0.347653,0.000596,0.000213,0.348778,0.000480,0.06s,10068
elevator 22,0.000149,0.362348,0.000700,0.000237,0.363615,0.000497,0.06s,10068
elevator 23,0.000152,0.346555,0.000734,0.000222,0.347850,0.000527,0.08s,10068
elevator 24,0.000151,0.358652,0.000613,0.000218,0.359807,0.000481,0.07s,10068
elevator 25,0.000152,0.349547,0.000615,0.000220,0.350706,0.000484,0.08s,10068
elevator 26,0.000153,0.348463,0.000616,0.000215,0.349621,0.000502,0.06s,10068
elevator 27,0.000153,0.364466,0.000620,0.000216,0.365631,0.000486,0.08s,10068
elevator 28,0.000182,0.360712,0.000635,0.000219,0.361928,0.000489,0.08s,10068
elevator 29,0.000149,0.363828,0.000755,0.000258,0.365198,0.000505,0.07s,10068
elevator 30,0.000153,0.362463,0.000708,0.000253,0.363772,0.000498,0.08s,10068
elevator 31,0.000185,0.350273,0.000633,0.000211,0.351493,0.000508,0.07s,10068
elevator 32,0.000151,0.348650,0.000615,0.000218,0.349834,0.000515,0.07s,10068
