benchmark name,t closure,domain extension,collecting queries,rewriting,update rules const,gen derived preds,finalize,total complation,tseitin transformation, solution, size(KB)
cat 6,0.071343,0.000122,0.000236,0.357533,0.000280,0.002612,0.000540,0.361642,0.027146,0.09s,10076
cat 7,0.050574,0.000107,0.000220,0.358446,0.000232,0.002597,0.000547,0.362442,0.026940,0.09s,10072
cat 8,0.050795,0.000101,0.000211,0.350574,0.000234,0.002573,0.000580,0.354562,0.029612,0.09s,10072
cat 9,0.051171,0.000103,0.000209,0.361852,0.000248,0.002642,0.000554,0.365919,0.027615,0.11s,10072
cat 10,0.051366,0.000103,0.000213,0.351770,0.000269,0.002624,0.000659,0.355958,0.027142,0.11s,10232
cat 11,0.051037,0.000110,0.000236,0.363998,0.000286,0.002647,0.000560,0.368161,0.029314,0.13s,10232
cat 12,0.050771,0.000099,0.000249,0.353075,0.000244,0.002649,0.000565,0.357209,0.026302,0.16s,10516
cat 13,0.050895,0.000100,0.000231,0.350434,0.000284,0.002628,0.000547,0.354529,0.027068,0.16s,10520
cat 14,0.050982,0.000114,0.000236,0.359537,0.000237,0.002549,0.000557,0.363533,0.026921,0.31s,12216
cat 15,0.051104,0.000100,0.000222,0.359886,0.000241,0.002622,0.000565,0.363979,0.027035,0.51s,14604
cat 16,0.051199,0.000107,0.000233,0.349551,0.000253,0.002552,0.000544,0.353539,0.027224,0.53s,14608
cat 17,0.051106,0.000112,0.000211,0.353321,0.000274,0.002734,0.000558,0.357534,0.027112,2.00s,31712
cat 18,0.051795,0.000113,0.000245,0.349934,0.000242,0.002647,0.000545,0.354016,0.026878,2.05s,31648
cat 19,0.051018,0.000112,0.000226,0.357596,0.000284,0.002651,0.000551,0.361725,0.026820,4.33s,54760
cat 20,0.050960,0.000127,0.000226,0.353370,0.000241,0.002622,0.000558,0.357450,0.026788,20.16s,283048
cat 21,0.050754,0.000100,0.000259,0.352816,0.000244,0.002589,0.000555,0.356835,0.026583,20.39s,285368
cat 22,0.050752,0.000100,0.000208,0.354674,0.000259,0.002653,0.000542,0.358729,0.027538,45.74s,588700
cat 23,0.051198,0.000100,0.000211,0.353446,0.000286,0.002702,0.000562,0.357617,0.026446,46.59s,595096
cat 24,0.050896,0.000105,0.000259,0.350582,0.000293,0.002710,0.000589,0.354878,0.026578,215.00s,2337792
cat 25,0.050794,0.000109,0.000208,0.409767,0.000255,0.002971,0.000573,0.414168,0.029927,469.56s,4937788
elevator 15,0.051137,0.000132,0.001071,0.360558,0.000443,0.003395,0.001008,0.366945,0.129420,0.23s,11436
elevator 16,0.051059,0.000131,0.000843,0.415975,0.000364,0.003400,0.000984,0.422010,0.132055,0.27s,11588
elevator 17,0.052135,0.000163,0.001181,0.386142,0.000372,0.003565,0.001034,0.392786,0.131878,0.27s,11460
elevator 18,0.051843,0.000135,0.000920,0.393219,0.000408,0.003377,0.000962,0.399318,0.128220,0.51s,15040
elevator 19,0.053070,0.000153,0.001181,0.375184,0.000384,0.003434,0.000993,0.381654,0.134359,0.63s,15564
elevator 20,0.052988,0.000164,0.001103,0.385140,0.000350,0.003474,0.001013,0.391567,0.131750,1.52s,29288
